logical_deal_id,target_name,date_announced,matched_cik,accession_number,filing_date,days_lag,mda_word_count,risk_word_count,deal_id,deal_status,number_of_days_between_date_announced_and_date_effective,percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement,target_share_price_1_day_prior_to_announcement_usd,target_share_price_1_week_prior_to_announcement_usd,target_share_price_4_weeks_prior_to_announcement_usd,date_effective,share_price_paid_by_acquiror_for_target_shares_usd,premium_paid_1_day_prior_to_announcement,premium_paid_4_weeks_prior_to_announcement,premium_paid_1_week_prior_to_announcement,target_financial_advisors_name,consideration_price_per_share_usd,target_nation,acquirer_name,target_primary_sic,target_public_status,acquiror_ultimate_parent_name,final_stake_pct,percentage_of_cash,percentage_of_stock,target_ticker,deal_type,deal_value_usd_millions,rank_value_including_net_debt_of_target_usd_millions,percentage_of_shares_owned_after_transaction,acquiror_financial_advisors_name,date_withdrawn,rank_date,target_macro_industry,target_mid_industry,acquiror_macro_industry,acquiror_mid_industry,acquiror_nation,target_cusip,target_state,acquisition_techniques,form_of_the_deal,deal_attitude,tender_offer_flag,cross_border_deal_flag,acquiror_state,related_sdc_deal_number,competing_offer_flag,deal_completed,deal_outcome_terminal,time_to_close,year_announced,month_announced,payment_method_clean,flag_has_deal_id,flag_has_target_name,flag_has_announce_date,flag_terminal_outcome,flag_has_premium_inputs,has_premium,premium_1w,has_premium_1d,has_premium_4w,has_completion_outcome,has_ticker,has_cusip,operational_specificity_raw,fl_sentence_share,fl_precision_share,commitment_density,hedging_density,risk_transparency,risk_disclosure_raw,risk_numeric_density,tone_lm,pos_density,neg_density,operational_specificity_norm,forward_looking_norm,risk_transparency_norm,risk_disclosure_raw_norm,tone_lm_norm,operational_specificity_norm_level,forward_looking_norm_level,risk_transparency_norm_level,risk_disclosure_raw_norm_level,tone_lm_norm_level,premium_1d,premium_4w,completion,sic2,ind_year_fe,sample_core,sample_risk,sample_premium,sample_completion,sample_duration,operational_specificity_raw_outlier,fl_sentence_share_outlier,risk_transparency_outlier,tone_lm_outlier,mda_fog,mda_fk,risk_fog,risk_fk,mda_log_length,risk_log_length,mda_wc,risk_wc
180 Connect Inc___2008-02-20,180 Connect Inc,2008-02-20,0001323639,0001144204-07-030993,2007-06-08,257,3328,6085,1954177020,Withdrawn,-999,0,1.11,1.19,0.85,NA,3,170.27,252.94,152.1,William Blair & Co,NA,United States,Creative Vistas Inc,"Investment offices, nec",Public,Creative Vistas Inc,0,50,50,CNCT,Disclosed Value,74.118,74.118,NA,NA,2008-07-09T00:00:00Z,2008-02-20T00:00:00Z,Financials,Alternative Financial Investments,Consumer Products and Services,Professional Services,Canada,68131H,New York,Unsolicited Deal|Stock Swap,Merger,Unsolicited,FALSE,TRUE,Foreign,NA,False|True,0,TRUE,NA,2008,2,Mixed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,152.1,TRUE,TRUE,TRUE,TRUE,TRUE,34.328864000622204,0.061855670103092786,0.3333333333333333,2.735042735042735,8.547008547008547,0.8203660314075635,54.88644184445974,18.06822019587977,-0.7301587301587301,2.735042735042735,18.461538461538463,-1.7241331932584507,-0.5135041511944101,0.5028479432761661,-1.1959562500938137,-0.9449026610971186,sic2_year,sic2_year,sic2_year,sic2_year,sic2_year,170.27,252.94,0,In,In_2008,1,1,1,1,0,0,0,0,0,22.63256894628622,18.937331950665854,23.766810892337947,20.216903300580388,7.981049759665957,8.667680024690174,2925,5812
1Life Healthcare Inc___2022-07-21,1Life Healthcare Inc,2022-07-21,0001404123,0001404123-22-000010,2022-02-23,148,12143,33841,3950947020,Completed,216,0,10.18,9.5,9.14,2023-02-22T00:00:00Z,18,76.82,96.94,89.47,Morgan Stanley,NA,United States,Amazon.com Inc,Offices and clinics of doctors of medicine,Public,Amazon.com Inc,100,100,0,ONEM,Disclosed Value,3716.914,3680.074,100,Goldman Sachs & Co,NA,2022-07-21T00:00:00Z,Healthcare,Healthcare Providers & Services (HMOs),Retail,Other Retailing,United States,68269G,California,Not Applicable,Merger,Friendly,FALSE,FALSE,Washington,NA,NA,1,TRUE,216,2022,7,Cash,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.47,TRUE,TRUE,TRUE,TRUE,TRUE,42.82457273338224,0.0391644908616188,0.13333333333333333,1.5439106348197258,4.086822268640451,0.808048801851867,72.90922087205146,7.090515323226629,-0.12307692307692308,7.719553174098629,9.899191717373537,-1.7819943516987244,-0.9232124965975638,1.2286463763432771,0.7394980521747175,1.752794008225712,sic2,sic2,sic2,sic2,sic2,76.82,96.94,1,Of,Of_2022,1,1,1,1,1,0,0,0,0,22.77755354907141,18.31655569030008,25.27967019656158,21.21540707425152,9.306650052113591,10.421566805013427,11011,33576
1st Century Bancshares Inc___2016-03-10,1st Century Bancshares Inc,2016-03-10,0001420525,0001437749-15-004232,2015-03-06,370,11871,4802,2939290020,Completed,113,0,8,8,8.31,2016-07-01T00:00:00Z,11.22,40.25,35.02,40.25,Sandler O'Neill Partners,11.22,United States,Midland Financial Co,National commercial banks,Public,Midland Financial Co,100,100,0,FCTY,Disclosed Value,115.98,115.98,100,Macquarie Capital Partners LLC,NA,2016-03-10T00:00:00Z,Financials,Banks,Financials,Asset Management,United States,31943X,California,Going Private,Merger,Friendly,FALSE,FALSE,Oklahoma,NA,NA,1,TRUE,113,2016,3,Cash,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,40.25,TRUE,TRUE,TRUE,TRUE,TRUE,114.72872299020574,0.044444444444444446,0.3333333333333333,1.2667135819845179,3.096410978184377,0.572506592131051,79.98270644185041,5.56745182012848,-0.625,3.940886699507389,17.311752287121745,0.7242458098364838,-0.6617352791803078,-0.12685524672430937,1.00573128279952,-0.6112408493685081,sic2_year,sic2_year,sic2_year,sic2_year,sic2_year,40.25,35.02,1,Na,Na_2016,1,1,1,1,1,0,0,0,0,22.65697605550385,17.69543954649294,22.9261216572864,17.982527902318044,8.868554040531201,8.439447842791385,7105,4626
1st Constitution Bancorp___2021-07-12,1st Constitution Bancorp,2021-07-12,0001141807,0001141807-21-000005,2021-03-15,119,22943,9844,3770728020,Completed,178,0,20.615,21.35,20.4,2022-01-06T00:00:00Z,23.529,14.14,15.34,10.21,Raymond James & Associates Inc,NA,United States,Lakeland Bancorp Inc,National commercial banks,Public,Lakeland Bancorp Inc,100,0,100,FCCY,Disclosed Value,246.431,246.431,100,Keefe Bruyette & Woods Inc|Stifel Nicolaus & Co Inc,NA,2021-07-12T00:00:00Z,Financials,Banks,Financials,Banks,United States,31986N,New Jersey,Stock Swap,Merger,Friendly,FALSE,FALSE,New Jersey,NA,NA,1,TRUE,178,2021,7,Stock,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.21,TRUE,TRUE,TRUE,TRUE,TRUE,103.05333525594348,0.0668693009118541,0.7727272727272727,1.151169483543509,3.662811993092983,0.39000911425406126,71.89006255768639,15.361139369277721,-0.6766917293233082,3.3488566793992987,17.47684579561509,-0.21755264293441512,-0.23767226089177432,-0.4776192768024258,-0.30966564241205574,-0.8763133669374953,sic2_year,sic2_year,sic2_year,sic2_year,sic2_year,14.14,15.34,1,Na,Na_2021,1,1,1,1,1,0,0,0,0,23.277242994670793,18.636969131425136,24.562060811381933,20.06305616921428,9.858019364488982,9.18512512283512,19111,9751
21st Century Holding Co___2009-10-13,21st Century Holding Co,2009-10-13,0001069996,0001144204-09-014329,2009-03-16,211,16301,7883,2117322020,Withdrawn,-999,0,3.95,3.94,4.31,NA,5.076,28.51,17.77,28.83,NA,NA,United States,Homeowners Choice Inc,"Fire, marine, and casualty insurance",Public,Homeowners Choice Inc,0,19.703,80.297,TCHC,Disclosed Value,40.675,40.675,NA,NA,2009-11-06T00:00:00Z,2009-10-13T00:00:00Z,Financials,Insurance,Financials,Insurance,United States,90136Q,Florida,Stock Swap|Unsolicited Deal,Merger,Unsolicited,FALSE,FALSE,Florida,NA,NA,0,TRUE,NA,2009,10,Mixed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28.83,TRUE,TRUE,TRUE,TRUE,TRUE,92.88464446172456,0.053811659192825115,0.125,1.9097222222222223,2.430555555555556,0.3880957952959414,70.84148727984345,15.76316801230296,-0.7304785894206549,4.600694444444445,29.774305555555557,0.31904488588008273,-0.29572947056313287,-0.2341156831985128,-0.5714746783269113,-0.5488839290209262,sic2,sic2,sic2,sic2,sic2,28.51,17.77,0,Fi,Fi_2009,1,1,1,1,0,0,0,0,0,22.65384340057504,18.234168631910418,22.568502112790583,17.881151954660634,9.351839934249883,8.944419791305915,11520,7665
24/7 Real Media Inc___2007-05-17,24/7 Real Media Inc,2007-05-17,0001062195,0001104659-06-016816,2006-03-15,428,11159,7354,1862413020,Completed,57,0,8.47,8.41,8.13,2007-07-13T00:00:00Z,11.75,38.72,44.53,39.71,Lehman Brothers|Piper Jaffray Cos,NA,United States,WPP Group PLC,Information retrieval services,Public,WPP Group PLC,100,100,0,TFSM,Tender Offers|Disclosed Value,647.866,600.253,100,Goldman Sachs & Co,NA,2007-05-17T00:00:00Z,High Technology,Internet Software & Services,Media and Entertainment,Advertising & Marketing,United Kingdom,901314,New York,Rumored Deal|Tender/Merger|Tender Offer,Merger,Friendly,TRUE,TRUE,Foreign,NA,NA,1,TRUE,57,2007,5,Cash,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,39.71,TRUE,TRUE,TRUE,TRUE,TRUE,60.010457862505604,0.07009345794392523,0.7666666666666667,1.8098584051953581,2.7680187373576066,0.7992513674117845,69.60067491563555,10.074156988946411,-0.32211538461538464,7.45235813903971,14.585329500692003,-0.07607009713861707,-0.2553990013343009,0.332925827177757,0.41568987885612974,0.5973502822681882,sic2_year,sic2_year,sic2_year,sic2_year,sic2_year,38.72,44.53,1,In,In_2007,1,1,1,1,1,0,0,0,0,19.857721015670442,15.406751764346783,21.26279403858527,17.52270669733746,9.147720009994515,8.86953877719374,9393,7112
3Com Corp___2007-09-28,3Com Corp,2007-09-28,0000738076,0000950135-06-004986,2006-08-11,413,12408,6483,1910039020,Withdrawn,-999,0,3.68,3.58,3.75,NA,5.3,44.02,41.33,48.04,Goldman Sachs & Co,NA,United States,Investor Group,"Computer peripheral equipment, nec",Public,Investor Group,0,100,0,COMS,Disclosed Value|Leveraged Buyouts,2162.431,2091.385,NA,HSBC Holdings PLC|ABN-AMRO Holding NV|UBS Investment Bank|Citi|Bank of China(Hong Kong)Ltd,2008-03-20T00:00:00Z,2007-09-28T00:00:00Z,High Technology,Electronics,Financials,Other Financials,United States,885535,Massachusetts,Leveraged Buyout|Institutional Buyout|Financial Acquiror|Going Private|Acquiror Is An Investor Group,Merger,Friendly,FALSE,FALSE,Foreign,2297906116|2298958116|2298959116,NA,0,TRUE,NA,2007,9,Cash,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,48.04,TRUE,TRUE,TRUE,TRUE,TRUE,57.05740960931272,0.09443099273607748,0.717948717948718,2.4131274131274134,7.239382239382239,0.7387525071372798,60.98726114649681,18.127364438839848,-0.4391304347826087,6.177606177606178,15.926640926640928,-0.5195032217502027,0.7520920389047255,1.1571113933186596,-1.4826575949323992,0.13444318482178036,sic2_year,sic2_year,sic2_year,sic2_year,sic2_year,44.02,41.33,0,Co,Co_2007,1,1,1,1,0,0,0,0,0,20.624064795167484,16.810264750909457,21.020844033720365,17.52695297806981,9.245707515813473,8.745125259462244,10360,6280
3Com Corp___2009-11-11,3Com Corp,2009-11-11,0000738076,0000950123-09-025431,2009-07-27,107,14553,8380,2126747020,Completed,152,0,5.41,5.25,5.84,2010-04-12T00:00:00Z,7.9,46.03,35.27,50.48,Goldman Sachs & Co,NA,United States,Hewlett Packard Co,"Computer peripheral equipment, nec",Public,Hewlett Packard Co,100,100,0,COMS,Disclosed Value,3182.648,2716.825,100,Morgan Stanley,NA,2009-11-11T00:00:00Z,High Technology,Electronics,High Technology,Computers & Peripherals,United States,885535,Massachusetts,Not Applicable,Merger,Friendly,FALSE,FALSE,California,NA,NA,1,TRUE,152,2009,11,Cash,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50.48,TRUE,TRUE,TRUE,TRUE,TRUE,58.065282167884945,0.08731808731808732,0.5476190476190477,1.957713390759593,4.85512920908379,0.752226580074619,56.24534392848274,11.893084845512504,-0.4124087591240876,6.264682850430697,15.113547376664057,-0.15508594165654582,0.5355507566996542,0.6285349180582905,-1.4997923501704298,0.41330139294099744,sic2_year,sic2_year,sic2_year,sic2_year,sic2_year,46.03,35.27,1,Co,Co_2009,1,1,1,1,1,0,0,0,0,20.112995249847412,16.722927049332593,20.793104320065428,17.419264050753835,9.454853949026585,8.9939241414114,12770,8054
3M Co___2018-11-13,3M Co,2018-11-13,0000066740,0001558370-18-000535,2018-02-08,278,23210,1687,3309260020,Withdrawn,-999,0,197.04,195.3,202.33,NA,NA,NA,NA,NA,NA,NA,United States,3M Co,Surgical and medical instruments and apparatus,Public,3M Co,0,100,0,MMM,Repurchases,10000,10000,NA,NA,2020-03-31T00:00:00Z,2018-11-13T00:00:00Z,Healthcare,Healthcare Equipment & Supplies,Healthcare,Healthcare Equipment & Supplies,United States,88579Y,Minnesota,Open Market Purchase|Repurchase,Buyback,No Applicable,FALSE,FALSE,Minnesota,NA,NA,0,TRUE,NA,2018,11,Cash,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,88.96029747263768,0.05891238670694864,0.8461538461538461,1.1850558223663692,2.4324830038046525,0.878247672304739,75.80351728320194,8.398320335932814,-0.25072886297376096,7.983533961205014,13.347470841389633,1.8012144983800744,-0.763228178679475,2.1769230737572833,0.9853787182739748,0.7295522368004126,sic2,sic2,sic2,sic2,sic2,NA,NA,0,Su,Su_2018,1,1,0,1,0,0,0,0,0,20.727597166544538,16.521140549640553,24.216122004357302,19.718601307189548,9.682404377188837,7.407924322559599,16033,1649
3PAR Inc___2010-08-16,3PAR Inc,2010-08-16,0001408501,0001193125-09-130217,2009-06-12,430,13378,10347,2211453020,Withdrawn,-999,0,9.65,10.19,9.08,NA,27,179.79,197.36,164.97,Qatalyst Partners,27,United States,Dell Inc,Computer storage devices,Public,Dell Inc,0,100,0,PAR,Disclosed Value,1871.809,1767.513,NA,Credit Suisse Group,2010-09-02T00:00:00Z,2010-08-16T00:00:00Z,High Technology,Computers & Peripherals,High Technology,Computers & Peripherals,United States,88580F,California,Not Applicable,Merger,Friendly,FALSE,FALSE,Texas,NA,True,0,TRUE,NA,2010,8,Cash,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,164.97,TRUE,TRUE,TRUE,TRUE,TRUE,68.62548371673044,0.08659217877094973,0.3225806451612903,2.08955223880597,4.079601990049751,0.6907368390423141,68.91771462521042,7.338551859099804,-0.5447761194029851,2.9850746268656714,10.248756218905472,0.5389760341577863,-0.04859058039671556,-0.5335964319656652,-0.456600253047856,-0.25511059381318035,sic2_year,sic2_year,sic2_year,sic2_year,sic2_year,179.79,197.36,0,Co,Co_2010,1,1,1,1,0,0,0,0,0,22.10755380379376,18.158527911345157,22.693774762196952,18.974403590833507,9.215327913487222,9.220191688026556,10050,10099
