"deal_id","target_name","target_ticker","date_announced","target_cik","cik_source","cik_confidence","sec_company_name","matched","manual_review"
"4032878020","Medicale Corp","MCLE",2022-12-28,"   1827855","sec_bulk","high","Medicale Corp.",TRUE,FALSE
"3995248020","ABIOMED Inc","ABMD",2022-11-01,"0000815094","historical_db","high","ABIOMED INC",TRUE,FALSE
"3991677020","Applied Genetic Technologies Corp","AGTC",2022-10-23,"0001273636","historical_db","high","APPLIED GENETIC TECHNOLOGIES CORP",TRUE,FALSE
"3989580020","Akouos Inc","AKUS",2022-10-18,"0001722271","historical_db","high","Akouos, Inc.",TRUE,FALSE
"3988975020","Archaea Energy Inc","LFG",2022-10-17,"0001823766","historical_db","high","Archaea Energy Inc.",TRUE,FALSE
"3984432020","Logicbio Therapeutics Inc","LOGC",2022-10-03,"   2064307","sec_bulk","high","ContextLogic Holdings Inc.",TRUE,FALSE
"3981993020","BTRS Holdings Inc","BTRS",2022-09-28,"0001774155","historical_db","high","0001774155 (see all company filings)",TRUE,FALSE
"3976941020","Renovacor Inc","RCOR",2022-09-20,"0001799850","historical_db","high","Renovacor, Inc.",TRUE,FALSE
"3976974020","Electric Last Mile Solutions Inc","ELMS",2022-09-16,NA,NA,NA,NA,FALSE,TRUE
"3985850020","Driven Brands Holdings Inc","DRVN",2022-09-12,"   1804745","sec_bulk","high","Driven Brands Holdings Inc.",TRUE,FALSE
"3972380020","Evergreen Gaming Corp","TNA",2022-09-08,NA,NA,NA,NA,FALSE,TRUE
"3970859020","Brigham Minerals Inc","MNRL",2022-09-06,"0001745797","historical_db","high","MNRL Sub Inc.",TRUE,FALSE
"3971041020","ChannelAdvisor Corp","ECOM",2022-09-06,"0001169652","historical_db","high","CHANNELADVISOR CORP",TRUE,FALSE
"3969179020","Forma Therapeutics Holdings Inc","FMTX",2022-09-01,"0001538927","historical_db","high","Forma Therapeutics Holdings, Inc.",TRUE,FALSE
"3968378020","Rodedawg International Industries Inc","RWGI",2022-08-30,NA,NA,NA,NA,FALSE,TRUE
"3964886020","Computer Services Inc","CSVI",2022-08-22,NA,NA,NA,NA,FALSE,TRUE
"3965344020","Aerie Pharmaceuticals Inc","AERI",2022-08-22,"0001337553","historical_db","high","AERIE PHARMACEUTICALS INC",TRUE,FALSE
"3962607020","Hill International Inc","APGO",2022-08-16,NA,NA,NA,NA,FALSE,TRUE
"3959809020","BBQ Holdings Inc","BBQ",2022-08-09,"0001021270","historical_db","high","BBQ HOLDINGS, INC.",TRUE,FALSE
"3961280020","CarLotz Inc","LOTZ",2022-08-09,"0001759008","historical_db","high","CarLotz, Inc.",TRUE,FALSE
