"deal_id","target_name","target_cik","cik_match_method"
"3064117020","IXIA","0001120295","exact"
"2024195020","SM&A","0001050031","exact"
"1849765020","TODCO","0001210697","exact"
"2939290020","1st Century Bancshares Inc","0001420525","cleaned"
"3770728020","1st Constitution Bancorp","0001141807","cleaned"
"2126747020","3Com Corp","0000738076","cleaned"
"2213457020","3PAR Inc","0001408501","cleaned"
"3091348020","8point3 Energy Partners LP","0001635581","cleaned"
"3995248020","ABIOMED Inc","0000815094","cleaned"
"1885402020","ACR Group Inc","0000711307","cleaned"
"2215403020","ADAM Inc","0000863650","cleaned"
"2201491020","ADC Telecommunications Inc","0000061478","cleaned"
"1737870020","ADE Corp","0000884498","cleaned"
"1824596020","ADESA Inc","0001281949","cleaned"
"1774816020","ADVO Inc","0000801622","cleaned"
"2998550020","AEP Industries Inc","0000785787","cleaned"
"2793763020","AGL Resources Inc","0001004155","cleaned"
"3484257020","AK Steel Holding Corp","0000918160","cleaned"
"2490724020","ALJ Regional Holdings Inc","0001438731","cleaned"
"3645151020","AMAG Pharmaceuticals Inc","0000792977","cleaned"
"1934142020","AMIS Holdings Inc","0001161963","cleaned"
"2297768020","AML Communications Inc","0001003640","cleaned"
"2899176020","ANADIGICS Inc","0000940332","cleaned"
"2667653020","ANN Inc","0000874214","cleaned"
"2712561020","AOL Inc","0001468516","cleaned"
"2326656020","APAC Customer Services Inc","0000949297","cleaned"
"2925243020","API Technologies Corp","0001081078","cleaned"
"3058405020","ARIAD Pharmaceuticals Inc","0000884731","cleaned"
"2788743020","ASB Bancorp Inc","0001520300","cleaned"
"3422236020","ASV Holdings Inc","0001690881","cleaned"
"2203117020","ATC Technology Corp","0000933405","cleaned"
"2607013020","ATMI Inc","0001041577","cleaned"
"2390076020","ATS Corp","0001325460","cleaned"
"2179073020","ATS Medical Inc","0000824068","cleaned"
"3253093020","AV Homes Inc","0000039677","cleaned"
"1763183020","Aames Investment Corp","0001282552","cleaned"
"3244936020","Abaxis Inc","0000881890","cleaned"
"2039961020","Abigail Adams National Bancorp Inc","0000356809","cleaned"
"1856203020","Ablest Inc","0000046653","cleaned"
"2397981020","AboveNet Inc","0001043533","cleaned"
"3426694020","Acacia Communications Inc","0001651235","cleaned"
"3805445020","Acceleron Pharma Inc","0001280600","cleaned"
"2408870020","Accelr8 Technology Corp","0000727207","cleaned"
"2607034020","Accelrys Inc","0001002388","cleaned"
"3296125020","Access National Corp","0001176316","cleaned"
"1873961020","Accredited Home Lenders Holding Co","0001174735","cleaned"
"3001489020","Accuride Corp","0000817979","cleaned"
"3466471020","Achillion Pharmaceuticals Inc","0001070336","cleaned"
"2492905020","Acme Packet Inc","0001130258","cleaned"
"2226436020","Actel Corp","0000907687","cleaned"
"2702968020","Actuate Corp","0001062478","cleaned"
"3812474020","Adamas Pharmaceuticals Inc","0001328143","cleaned"
"2397925020","Adams Golf Inc","0001059763","cleaned"
"1932497020","Adams Respiratory Therapeutics Inc","0001319439","cleaned"
"2801966020","Adept Technology Inc","0000865415","cleaned"
"3516740020","Adesto Technologies Corp","0001395848","cleaned"
"1839166020","Adeza Biomedical Corp","0000902482","cleaned"
"2355975020","Adolor Corp","0001076167","cleaned"
"2388742020","Advance America Cash Advance Centers Inc","0001299704","cleaned"
"3096518020","AdvancePierre Foods Holdings Inc","0001669792","cleaned"
"2313537020","Advanced Analogic Technologies Inc","0001104042","cleaned"
"1756906020","Advanced Digital Information Corp","0000770403","cleaned"
"3381210020","Advanced Disposal Services Inc","0001585790","cleaned"
"2041856020","Advanced Medical Optics Inc","0001168335","cleaned"
"2721298020","Advanced Photonix Inc","0000869986","cleaned"
"3699776020","Aegion Corp","0000353020","cleaned"
"3965344020","Aerie Pharmaceuticals Inc","0001337553","cleaned"
"2638501020","Aeroflex Holding Corp","0001487990","cleaned"
"1860600020","Aeroflex Inc","0000002601","cleaned"
"3168570020","Aetna Inc","0001013761","cleaned"
"2112178020","Affiliated Computer Services Inc","0000002135","cleaned"
"2891630020","Affymetrix Inc","0000913077","cleaned"
"1817674020","Agere Systems Inc","0001129446","cleaned"
"1867910020","Agile Software Corp","0001088653","cleaned"
"3628117020","Aimmune Therapeutics Inc","0001631650","cleaned"
"3066079020","Air Methods Corp","0000816159","cleaned"
"1965401020","AirNet Systems Inc","0001011696","cleaned"
"2223873020","AirTran Holdings Inc","0000948846","cleaned"
"3473674020","Aircastle Ltd","0001362988","cleaned"
"2820964020","Airgas Inc","0000804212","cleaned"
"2110436020","Airspan Networks Inc","0001105542","cleaned"
