x1,deal_number,acquiror_name,target_name,deal_type,deal_status,deal_value_th_usd,announced_date,completed_date,withdrawn_date_10,withdrawn_date_11,initial_stake_percent,acquired_stake_percent,target_ticker,target_stock_exchange_s_listed,deal_completed,cik,sec_name
1,1909123295,AT&T INC.,TIME WARNER INC.,Acquisition 100%,Completed,108700000,2016-10-22T00:00:00Z,2018-06-13T00:00:00Z,NA,NA,0.00000,100.00000,TWX,NASDAQ OMX PHLX,1,NA,NA
2,1941097973,TWDC HOLDCO 613 CORPORATION,TWENTY-FIRST CENTURY FOX INC.,Acquisition 100% Bid 2 Increased,Completed,85100000,2018-06-20T00:00:00Z,2019-03-15T00:00:00Z,NA,NA,0.00000,100.00000,TFCFA,NASDAQ National Market,1,NA,NA
3,1909646579,CVS HEALTH CORPORATION,AETNA INC.,Acquisition 100%,Completed,77000000,2017-12-03T00:00:00Z,2018-11-28T00:00:00Z,NA,NA,0.00000,100.00000,AET,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
4,1941049413,HALFMOON PARENT INC.,EXPRESS SCRIPTS HOLDING COMPANY,Acquisition 100%,Completed,67000000,2018-03-08T00:00:00Z,2018-12-20T00:00:00Z,NA,NA,0.00000,100.00000,ESRX,NASDAQ National Market,1,NA,NA
5,1909440821,BAYER AG,MONSANTO COMPANY,Acquisition 100%,Completed,63000000,2016-09-14T00:00:00Z,2018-06-07T00:00:00Z,NA,NA,0.00000,100.00000,MON,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
6,1909545396,DEUTSCHE TELEKOM AG,SPRINT CORPORATION,Acquisition 100%,Completed,59000000,2018-04-29T00:00:00Z,2020-04-01T00:00:00Z,NA,NA,0.00000,100.00000,S,New York Stock Exchange (NYSE),1,0001583708,"SentinelOne, Inc."
7,1941135528,COMCAST BIDCO LTD,SKY PLC,Acquisition 100% - Bid 3 increased offer,Completed,46000855.6763461,2018-09-22T00:00:00Z,2018-12-31T00:00:00Z,NA,NA,0.00000,100.00000,SKY,London Stock Exchange / OTC Pink Market,1,0000090896,"Champion Homes, Inc."
8,1941074173,MAHI LLC,ANDEAVOR,Acquisition 100%,Completed,35600000,2018-04-30T00:00:00Z,2018-10-01T00:00:00Z,NA,NA,0.00000,100.00000,ANDV,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
9,1941148354,INTERNATIONAL BUSINESS MACHINES CORPORATION,RED HAT INC.,Acquisition 100%,Completed,34000000,2018-10-28T00:00:00Z,2019-07-09T00:00:00Z,NA,NA,0.00000,100.00000,RHT,New York Stock Exchange (NYSE),1,NA,NA
10,1909614345,UNITED TECHNOLOGIES CORPORATION,ROCKWELL COLLINS INC.,Acquisition 100%,Completed,23552096,2018-11-26T00:00:00Z,2018-11-26T00:00:00Z,NA,NA,0.00000,100.00000,COL,NASDAQ OMX PHLX,1,NA,NA
11,1909578340,VOLT PARENT LP,CALPINE CORPORATION,Institutional buy-out 100%,Completed,20474000,2017-08-18T00:00:00Z,2018-03-08T00:00:00Z,NA,NA,0.00000,100.00000,CPN,New York Stock Exchange (NYSE),1,NA,NA
12,1941135706,ADVENT INTERNATIONAL CORPORATION,THYSSENKRUPP ELEVATOR AG,Institutional buy-out 100%,Completed,20378560.1907433,2020-02-27T00:00:00Z,2020-07-31T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
13,1909620124,SEMPRA ENERGY,ENERGY FUTURE HOLDINGS CORPORATION,Acquisition 60%,Completed,18800000,2017-08-21T00:00:00Z,2018-03-09T00:00:00Z,NA,NA,0.00000,60.00000,TXU,New York Stock Exchange (NYSE),1,NA,NA
14,1941030530,KEURIG GREEN MOUNTAIN INC.,DR PEPPER SNAPPLE GROUP INC.,Acquisition 100%,Completed,18731176,2018-01-29T00:00:00Z,2018-07-09T00:00:00Z,NA,NA,0.00000,100.00000,KDP,NASDAQ National Market / Wiener Boerse / Boerse Berlin / Boerse Duesseldorf / Boerse Frankfurt / Boerse Hannover / Boerse Munchen / Boerse Stuttgart / London Stock Exchange / Borsa Italiana - MTA (Mercato Telematico Azionario) / Bolsa Mexicana de Valores / Moscow Exchange MICEX - RTS,1,0001418135,Keurig Dr Pepper Inc.
15,1941108580,BROADCOM INC.,CA INC.,Acquisition 100%,Completed,18400000,2018-07-11T00:00:00Z,2018-11-05T00:00:00Z,NA,NA,0.00000,100.00000,CA,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
16,1909414803,PRUDENTIAL PLC,UNNAMED SPECIAL PURPOSE VEHICLE TO HOLD BRADFORD & BINGLEY PLC'S LOAN PORTFOLIO,Acquisition 100%,Completed,16558959.3947449,2017-03-31T00:00:00Z,2018-02-19T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
17,1941143334,HARRIS CORPORATION,L3 TECHNOLOGIES INC.,Acquisition 100%,Completed,15703802,2018-10-12T00:00:00Z,2019-06-29T00:00:00Z,NA,NA,0.00000,100.00000,LLL,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
18,1909606511,DISCOVERY COMMUNICATIONS INC.,SCRIPPS NETWORKS INTERACTIVE INC.,Acquisition 100%,Completed,14600000,2017-07-31T00:00:00Z,2018-03-06T00:00:00Z,NA,NA,0.00000,100.00000,SNI,NASDAQ National Market,1,NA,NA
19,1941219270,FRONT RANGE TOPCO INC.,ZAYO GROUP HOLDING INC.,Institutional buy-out 100%,Completed,14300000,2019-05-08T00:00:00Z,2020-03-09T00:00:00Z,NA,NA,0.00000,100.00000,ZAYO,New York Stock Exchange (NYSE),1,NA,NA
20,1941018982,DOMINION ENERGY INC.,SCANA CORPORATION,Acquisition 100%,Completed,13400000,2018-01-03T00:00:00Z,2019-01-02T00:00:00Z,NA,NA,0.00000,100.00000,SCG,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
21,1941051695,BCP ACQUISITIONS LLC,JOHNSON CONTROLS INTERNATIONAL PLC'S POWER SOLUTIONS DIVISION,Institutional buy-out 100%,Completed,13244000,2018-11-20T00:00:00Z,2019-05-01T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
22,1909600382,VANTIV UK LTD,WORLDPAY GROUP PLC,Acquisition 100%,Completed,12879392.1921612,2017-08-09T00:00:00Z,2018-01-16T00:00:00Z,NA,NA,0.00000,100.00000,WPG,London Stock Exchange,1,NA,NA
23,1941160010,ALTRIA ENTERPRISES LLC,JUUL LABS INC.,Minority stake 35%,Completed,12800000,2018-12-20T00:00:00Z,2018-12-20T00:00:00Z,NA,NA,0.00000,35.00000,NA,NA,1,NA,NA
24,1909611884,"BLACKSTONE GROUP LP, THE",ALISEDA SERVICIOS DE GESTION INMOBILIARIA SL,Acquisition 51% and 100%,Completed Assumed,12321006.5769533,2017-08-08T00:00:00Z,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
NA,NA,NA,BANCO POPULAR ESPANOL SA'S EUR 30 BILLION ASSETS AND NON-PERFORMING REAL ESTATE LOANS,NA,NA,NA,NA,NA,NA,NA,0.00000,51.00000,NA,NA,0,NA,NA
25,1909557274,INVESTORS,AKZO NOBEL NV'S SPECIALITY CHEMICALS UNIT,Institutional buy-out 100%,Completed,11721053.8638917,2018-03-27T00:00:00Z,2018-10-01T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
26,1941027068,SANOFI SA,BIOVERATIV INC.,Acquisition 100%,Completed,11600000,2018-01-22T00:00:00Z,2018-03-08T00:00:00Z,NA,NA,0.00000,100.00000,BIVV,NASDAQ National Market,1,NA,NA
27,1941140839,VIACOMCBS INC.,VIACOM INC.,Acquisition 100%,Completed,11570377,2019-08-13T00:00:00Z,2019-12-04T00:00:00Z,NA,NA,0.00000,100.00000,VIAB,NASDAQ National Market / NASDAQ OMX PHLX,1,NA,NA
28,1909652825,BROOKFIELD ASSET MANAGEMENT INC.,FOREST CITY REALTY TRUST INC.,Acquisition 100%,Completed,11400000,2018-07-30T00:00:00Z,2018-12-07T00:00:00Z,NA,NA,0.00000,100.00000,FCEA,New York Stock Exchange (NYSE),1,NA,NA
29,1909581857,VISTRA ENERGY CORPORATION,DYNEGY INC.,Acquisition 100%,Completed,11238000,2017-10-30T00:00:00Z,2018-04-09T00:00:00Z,NA,NA,0.00000,100.00000,DYN,New York Stock Exchange (NYSE),1,0001818794,"Dyne Therapeutics, Inc."
30,1941040317,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,TRANSPORTATION SYSTEMS HOLDINGS INC.,Acquisition 100%,Completed,11100000,2018-05-21T00:00:00Z,2019-02-25T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
31,1909586271,CONAGRA BRANDS INC.’S LENDER’S BAGEL BUSINESS,PINNACLE FOODS INC.,Acquisition 100%,Completed,10900000,2018-06-27T00:00:00Z,2018-10-26T00:00:00Z,NA,NA,0.00000,100.00000,PF,New York Stock Exchange (NYSE),1,NA,NA
32,1941105984,BP AMERICAN PRODUCTION COMPANY,PETROHAWK ENERGY CORPORATION,Acquisition 100%,Completed,10500000,2018-07-27T00:00:00Z,2018-11-01T00:00:00Z,NA,NA,0.00000,100.00000,HK,New York Stock Exchange (NYSE),1,NA,NA
33,1941081926,WILLIAMS COMPANIES INC.,WILLIAMS PARTNERS LP,Acquisition increased from 71.989% to 100%,Completed,10500000,2018-05-17T00:00:00Z,2018-08-10T00:00:00Z,NA,NA,71.98900,28.01100,WPZ,New York Stock Exchange (NYSE),1,NA,NA
34,1909504588,MICROCHIP TECHNOLOGY INC.,MICROSEMI CORPORATION,Acquisition 100%,Completed,10150000,2018-03-01T00:00:00Z,2018-05-29T00:00:00Z,NA,NA,0.00000,100.00000,MSCC,NASDAQ National Market,1,NA,NA
35,1941044230,HRG GROUP INC.,SPECTRUM BRANDS HOLDINGS INC. (OLD),Acquisition increased from 59.3% to 100%,Completed,10000000,2018-02-24T00:00:00Z,2018-07-13T00:00:00Z,NA,NA,59.30000,40.70000,SPB,New York Stock Exchange (NYSE),1,0000109177,"Spectrum Brands Holdings, Inc."
