"original_name","standard_name","construct","priority"
"sdc_deal_no","deal_id","identifier_deal","CRITICAL"
"date_announced","date_announced","date_announcement","CRITICAL"
"date_effective","date_effective","date_completion","CRITICAL"
"number_of_days_between_date_announced_and_date_effective","number_of_days_between_date_announced_and_date_effective","date_announcement","CRITICAL"
"target_full_name","target_name","identifier_target","CRITICAL"
"deal_status","deal_status","outcome_completion","CRITICAL"
"percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement","percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement","date_announcement","CRITICAL"
"target_share_price_1_day_prior_to_announcement_usd","target_share_price_1_day_prior_to_announcement_usd","outcome_premium_input","CRITICAL"
"target_share_price_1_week_prior_to_announcement_usd","target_share_price_1_week_prior_to_announcement_usd","outcome_premium_input","CRITICAL"
"target_share_price_4_weeks_prior_to_announcement_usd","target_share_price_4_weeks_prior_to_announcement_usd","outcome_premium_input","CRITICAL"
"share_price_paid_by_acquiror_for_target_shares_usd","share_price_paid_by_acquiror_for_target_shares_usd","outcome_premium_input","CRITICAL"
"target_financial_advisors_name","target_financial_advisors_name","identifier_target","CRITICAL"
"premium_paid_1_day_prior_to_announcement","premium_paid_1_day_prior_to_announcement","date_announcement","CRITICAL"
"premium_paid_1_week_prior_to_announcement","premium_paid_1_week_prior_to_announcement","date_announcement","CRITICAL"
"premium_paid_4_weeks_prior_to_announcement","premium_paid_4_weeks_prior_to_announcement","date_announcement","CRITICAL"
"consideration_price_per_share_usd","consideration_price_per_share_usd","outcome_premium_input","CRITICAL"
"target_nation","target_nation","control_geography","HIGH"
"acquiror_full_name","acquirer_name","identifier_acquirer","HIGH"
"target_primary_sic","target_primary_sic","control_industry","HIGH"
"target_public_status","target_public_status","control_public_status","HIGH"
"acquiror_ultimate_parent_name","acquiror_ultimate_parent_name","identifier_acquirer","HIGH"
"percentage_of_shares_acquired_in_transaction","percentage_of_shares_acquired_in_transaction","control_payment","HIGH"
"percentage_of_cash","percentage_of_cash","control_payment","HIGH"
"percentage_of_stock","percentage_of_stock","control_payment","HIGH"
"deal_type","deal_type","control_deal_type","HIGH"
"target_primary_ticker_symbol","target_ticker","identifier_target","HIGH"
"percentage_of_shares_owned_after_transaction","percentage_of_shares_owned_after_transaction","control_payment","HIGH"
"deal_value_usd_millions","deal_value_usd_millions","control_deal_value","HIGH"
"rank_value_including_net_debt_of_target_usd_millions","rank_value_including_net_debt_of_target_usd_millions","control_deal_value","HIGH"
"acquiror_financial_advisors_name","acquiror_financial_advisors_name","identifier_acquirer","HIGH"
"date_withdrawn","date_withdrawn","date_withdrawn","HIGH"
"rank_date","rank_date","metadata_rank","LOW"
"target_macro_industry","target_macro_industry","control_industry","MEDIUM"
"target_mid_industry","target_mid_industry","control_industry","MEDIUM"
"acquiror_macro_industry","acquiror_macro_industry","control_industry","MEDIUM"
"acquiror_mid_industry","acquiror_mid_industry","control_industry","MEDIUM"
"acquiror_nation","acquiror_nation","moderator_geography","MEDIUM"
"target_6_digit_cusip","target_cusip","identifier_target","MEDIUM"
"target_state","target_state","control_geography","MEDIUM"
"acquisition_techniques","acquisition_techniques","moderator_deal","MEDIUM"
"form_of_the_deal","form_of_the_deal","unmapped","LOW"
"deal_attitude","deal_attitude","moderator_deal","MEDIUM"
"tender_offer_flag","tender_offer_flag","moderator_deal","MEDIUM"
"cross_border_deal_flag","cross_border_deal_flag","moderator_geography","MEDIUM"
"acquiror_state","acquiror_state","moderator_geography","MEDIUM"
"related_sdc_deal_number","related_sdc_deal_number","moderator_related_deal","LOW"
"competing_offer_flag","competing_offer_flag","moderator_deal","MEDIUM"
