"column_name","inferred_type","n_missing","pct_missing","n_unique","value_summary"
"sdc_deal_no","character",0,0,9469,"1029034020 | 1186486020 | 1519913020"
"date_announced","date",0,0,4042,"Range: [2005-01-01, 2022-12-27]"
"rank_date","date",0,0,4045,"Range: [2005-01-01, 2023-07-24]"
"rank_value_including_net_debt_of_target_usd_millions","numeric",1471,15.5,5978,"Range: [0.01, 210000.00]"
"target_full_name","character",0,0,5780,"Apple Inc | Fifth Third Bancorp | Charter Communications Inc"
"target_macro_industry","character",0,0,13,"Financials | High Technology | Healthcare"
"target_mid_industry","character",0,0,82,"Banks | Oil & Gas | Software"
"target_nation","character",0,0,1,"United States"
"acquiror_full_name","character",0,0,4922,"Investor Group | Creditors | United States Department of Treasury"
"acquiror_macro_industry","character",0,0,13,"Financials | High Technology | Healthcare"
"acquiror_mid_industry","character",0,0,86,"Other Financials | Banks | Alternative Financial Investments"
"acquiror_nation","character",0,0,61,"United States | Unknown | Canada"
"target_financial_advisors_name","character",4710,49.7,1411,"Goldman Sachs & Co | Morgan Stanley | JP Morgan"
"acquiror_financial_advisors_name","character",5857,61.9,1319,"Goldman Sachs & Co | JP Morgan | Morgan Stanley"
"related_sdc_deal_number","character",8338,88.1,1127,"2142268116 | 2485567116 | 2941675116|2944250116"
"date_effective","date",2233,23.6,3549,"Range: [2005-01-04, 2026-01-08]"
"date_withdrawn","date",7668,81,1439,"Range: [2005-03-22, 2026-02-02]"
"deal_status","character",0,0,5,"Completed | Withdrawn | Dismissed Rumor"
"number_of_days_between_date_announced_and_date_effective","numeric",0,0,790,"Range: [-999.00, 7406.00]"
"target_primary_ticker_symbol","character",11,0.1,5540,"AAPL | FITB | CHTR"
"target_6_digit_cusip","character",0,0,5744,"037833 | 316773 | 16117M"
"target_primary_sic","character",0,0,572,"National commercial banks | Prepackaged Software | Pharmaceutical preparations"
"target_public_status","character",0,0,1,"Public"
"target_state","character",0,0,53,"California | New York | Texas"
"acquiror_primary_ticker_symbol","character",3558,37.6,2896,"APO | AAPL | ORCL"
"acquiror_ultimate_parent_name","character",0,0,4312,"Investor Group | Creditors | United States of America"
"acquiror_state","character",7,0.1,53,"Foreign | New York | California"
"deal_value_usd_millions","numeric",1444,15.2,5932,"Range: [0.01, 210000.00]"
"percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement","numeric",0,0,571,"Range: [0.00, 91.91]"
"percentage_of_shares_acquired_in_transaction","numeric",0,0,2608,"Range: [0.00, 100.00]"
"percentage_of_shares_owned_after_transaction","numeric",2950,31.2,2526,"Range: [0.00, 100.00]"
"acquisition_techniques","character",0,0,1222,"Not Applicable | Privately Negotiated Purchase | Stock Swap"
"percentage_of_cash","numeric",0,0,923,"Range: [0.00, 200.00]"
"percentage_of_stock","numeric",0,0,660,"Range: [0.00, 100.00]"
"form_of_the_deal","character",0,0,10,"Merger | Buyback | Acquisition Of Partial Interest"
"deal_type","character",58,0.6,59,"Disclosed Value | Repurchases | Stake Purchase"
"consideration_price_per_share_usd","character",5207,55,3064,"10 | 14 | 20"
"share_price_paid_by_acquiror_for_target_shares_usd","numeric",4009,42.3,2636,"Range: [0.00, 775000.00]"
"target_share_price_1_day_prior_to_announcement_usd","numeric",428,4.5,4934,"Range: [0.00, 3664.20]"
"target_share_price_1_week_prior_to_announcement_usd","numeric",448,4.7,4870,"Range: [0.00, 5158.60]"
"target_share_price_4_weeks_prior_to_announcement_usd","numeric",446,4.7,4852,"Range: [0.00, 6105.40]"
"premium_paid_1_day_prior_to_announcement","numeric",4174,44.1,3743,"Range: [-99.98, 25350.45]"
"premium_paid_1_week_prior_to_announcement","numeric",4184,44.2,3873,"Range: [-99.98, 28275.53]"
"premium_paid_4_weeks_prior_to_announcement","numeric",4178,44.1,3990,"Range: [-99.98, 43568.83]"
"deal_attitude","character",0,0,5,"Friendly | No Applicable | Unsolicited"
"tender_offer_flag","character",0,0,2,"FALSE | TRUE"
"competing_offer_flag","character",8586,90.7,13,"False | True | False|False"
"cross_border_deal_flag","character",0,0,2,"FALSE | TRUE"
