"column_name","inferred_type","n_missing","pct_missing","n_unique","value_summary","construct","priority","construct_description"
"sdc_deal_no","character",0,0,9469,"1029034020 | 1186486020 | 1519913020","identifier_deal","CRITICAL","Deal unique identifier"
"date_announced","date",0,0,4042,"Range: [2005-01-01, 2022-12-27]","date_announcement","CRITICAL","Deal announcement date"
"rank_date","date",0,0,4045,"Range: [2005-01-01, 2023-07-24]","metadata_rank","LOW","Ranking date for deal value"
"rank_value_including_net_debt_of_target_usd_millions","numeric",1471,15.5,5978,"Range: [0.01, 210000.00]","control_deal_value","HIGH","Deal value (control variable)"
"target_full_name","character",0,0,5780,"Apple Inc | Fifth Third Bancorp | Charter Communications Inc","identifier_target","CRITICAL","Target company name"
"target_macro_industry","character",0,0,13,"Financials | High Technology | Healthcare","control_industry","MEDIUM","Broad industry classification"
"target_mid_industry","character",0,0,82,"Banks | Oil & Gas | Software","control_industry","MEDIUM","Medium industry classification"
"target_nation","character",0,0,1,"United States","control_geography","HIGH","Target country (US filter)"
"acquiror_full_name","character",0,0,4922,"Investor Group | Creditors | United States Department of Treasury","identifier_acquirer","HIGH","Acquirer company name"
"acquiror_macro_industry","character",0,0,13,"Financials | High Technology | Healthcare","control_industry","MEDIUM","Broad industry classification"
"acquiror_mid_industry","character",0,0,86,"Other Financials | Banks | Alternative Financial Investments","control_industry","MEDIUM","Medium industry classification"
"acquiror_nation","character",0,0,61,"United States | Unknown | Canada","moderator_geography","MEDIUM","Acquirer country (cross-border)"
"target_financial_advisors_name","character",4710,49.7,1411,"Goldman Sachs & Co | Morgan Stanley | JP Morgan","identifier_target","CRITICAL","Target company name"
"acquiror_financial_advisors_name","character",5857,61.9,1319,"Goldman Sachs & Co | JP Morgan | Morgan Stanley","identifier_acquirer","HIGH","Acquirer company name"
"related_sdc_deal_number","character",8338,88.1,1127,"2142268116 | 2485567116 | 2941675116|2944250116","moderator_related_deal","LOW","Related deal identifier"
"date_effective","date",2233,23.6,3549,"Range: [2005-01-04, 2026-01-08]","date_completion","CRITICAL","Deal completion date"
"date_withdrawn","date",7668,81,1439,"Range: [2005-03-22, 2026-02-02]","date_withdrawn","HIGH","Deal withdrawal date"
"deal_status","character",0,0,5,"Completed | Withdrawn | Dismissed Rumor","outcome_completion","CRITICAL","Deal status (completed/withdrawn)"
"number_of_days_between_date_announced_and_date_effective","numeric",0,0,790,"Range: [-999.00, 7406.00]","date_announcement","CRITICAL","Deal announcement date"
"target_primary_ticker_symbol","character",11,0.1,5540,"AAPL | FITB | CHTR","identifier_target","HIGH","Target ticker (for EDGAR matching)"
"target_6_digit_cusip","character",0,0,5744,"037833 | 316773 | 16117M","identifier_target","MEDIUM","Target CUSIP"
"target_primary_sic","character",0,0,572,"National commercial banks | Prepackaged Software | Pharmaceutical preparations","control_industry","HIGH","Target SIC code (for FE)"
"target_public_status","character",0,0,1,"Public","control_public_status","HIGH","Public listing status"
"target_state","character",0,0,53,"California | New York | Texas","control_geography","MEDIUM","Target state"
"acquiror_primary_ticker_symbol","character",3558,37.6,2896,"APO | AAPL | ORCL","identifier_target","HIGH","Target ticker (for EDGAR matching)"
