index,status,F,p,n_groups,n
operational_specificity_raw,ok,23.662135312851635,3.7902353961308184e-222,63,4020
fl_sentence_share,ok,5.499132907338241,4.1301133592471757e-38,63,4020
fl_precision_share,ok,4.622186715935602,3.0025696098321624e-29,63,4013
commitment_density,ok,7.063804108650183,2.4493681446827148e-54,63,4020
hedging_density,ok,2.7080286190092364,2.1791989153707048e-11,63,4020
risk_transparency,ok,24.81020179567412,6.646314315818885e-233,63,4020
risk_disclosure_raw,ok,11.325294261113253,3.9009879262940654e-99,63,4020
risk_numeric_density,ok,4.907732825055025,4.1517132465913533e-32,63,4020
tone_lm,ok,10.79393399197021,1.434675050778947e-93,63,4020
pos_density,ok,7.45269248952952,2.048474318137289e-58,63,4020
neg_density,ok,28.858293068128436,6.807654317160364e-270,63,4020
