term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n_obs,time_ratio,pct_change,robust.se,hazard_ratio
(Intercept),4.639450556062223,0.06509534826045094,71.27161433255513,0,4.511866017910648,4.7670350942137985,AFT1_core,3181,103.48747139577941,10248.747139577941,NA,NA
operational_specificity_raw_z,0.07819666699124318,0.015751454622976356,4.9644092474595425,6.89104991557889e-7,0.0473243832260926,0.10906895075639376,AFT1_core,3181,1.0813353007196793,8.133530071967932,NA,NA
fl_sentence_share_z,-0.02200403595647571,0.015152641390767881,-1.4521584315908254,0.14645755792019322,-0.05170266735303167,0.007694595440080245,AFT1_core,3181,0.9782362869241659,-2.1763713075834135,NA,NA
risk_transparency_z,-0.03348024608594099,0.014968362449818473,-2.2367340581298536,0.025303726631819623,-0.06281769739512692,-0.004142794776755054,AFT1_core,3181,0.9670740145396917,-3.292598546030834,NA,NA
tone_lm_z,-0.04161982903780107,0.01519947368428607,-2.7382414616651896,0.0061768705885668195,-0.07141025004296608,-0.011829408032636057,AFT1_core,3181,0.9592343843210759,-4.076561567892412,NA,NA
ln_deal_value,0.05162502054372468,0.007734141707873192,6.674951467616827,2.4731399495262363e-11,0.03646638134496412,0.06678365974248524,AFT1_core,3181,1.0529808222982948,5.298082229829482,NA,NA
tender,-0.8828474672198598,0.03737148319225383,-23.623559778940002,2.2074948856029792e-123,-0.9560942283255213,-0.8096007061141984,AFT1_core,3181,0.41360351088664987,-58.639648911335016,NA,NA
percentage_of_cash,-8.569122005352912e-4,4.2689822752903575e-4,-2.007298567378118,0.04471788161598466,-0.0016936173515561866,-2.0207049514395898e-5,AFT1_core,3181,0.9991434548438753,-0.08565451561246551,NA,NA
Log(scale),-0.18942199522628614,0.012537275449612863,-15.108704916596155,1.4190128450308347e-51,NA,NA,AFT1_core,3181,0.8274372584362562,-17.256274156374385,NA,NA
(Intercept),4.683034420473854,0.0662848665265103,70.65012974870965,0,4.553118469361849,4.812950371585859,AFT2_extended,3178,108.09758894596993,10709.758894596993,NA,NA
operational_specificity_raw_z,0.0566979368542041,0.017312966664144634,3.274882806285662,0.0010570581537127754,0.022765145726938066,0.09063072798147014,AFT2_extended,3178,1.0583360777832473,5.833607778324734,NA,NA
fl_sentence_share_z,-0.018096414695853935,0.01774499910147593,-1.0198036411480447,0.3078215959871247,-0.05287597384044237,0.016683144448734498,AFT2_extended,3178,0.9820663421659227,-1.79336578340773,NA,NA
risk_transparency_z,-0.0381010964503723,0.01502161441563427,-2.536418216854059,0.01119928980498685,-0.06754291969466315,-0.008659273206081453,AFT2_extended,3178,0.9626156189496823,-3.7384381050317717,NA,NA
tone_lm_z,-0.03578826548837199,0.015455181646753245,-2.3156159730992374,0.02057924592959506,-0.06607986489053279,-0.005496666086211192,AFT2_extended,3178,0.9648445627492239,-3.515543725077608,NA,NA
fl_precision_share_z,0.014651368951013351,0.017205819048112806,0.8515356874347905,0.3944718477893508,-0.01907141670780098,0.04837415460982768,AFT2_extended,3178,1.014759226366246,1.4759226366245937,NA,NA
commitment_density_z,-0.049422675189118914,0.017013800800007146,-2.904857989703168,0.003674197629458892,-0.08276911199727167,-0.016076238380966154,AFT2_extended,3178,0.9517787514030857,-4.822124859691435,NA,NA
hedging_density_z,-0.008637432169293158,0.016325234062020452,-0.5290847369464403,0.5967466689554807,-0.04063430297003977,0.023359438631453455,AFT2_extended,3178,0.9913997632798519,-0.8600236720148091,NA,NA
ln_deal_value,0.045866829760805805,0.007909932496403321,5.7986373185436975,6.685594595982896e-9,0.0303636469477123,0.06137001257389931,AFT2_extended,3178,1.0469349810913362,4.69349810913362,NA,NA
tender,-0.8776988462633155,0.03737044406770931,-23.4864441180593,5.611584980006229e-122,-0.9509435707222943,-0.8044541218043367,AFT2_extended,3178,0.4157384899733152,-58.42615100266848,NA,NA
percentage_of_cash,-9.628548388509916e-4,4.2778596471164577e-4,-2.2507864172215544,0.02439906823783891,-0.0018012999227775396,-1.244097549244435e-4,AFT2_extended,3178,0.9990376085571298,-0.09623914428702474,NA,NA
Log(scale),-0.1911660035856136,0.01254319158464112,-15.240618968117525,1.900612534832798e-52,NA,NA,AFT2_extended,3178,0.8259954585616852,-17.400454143831478,NA,NA
(Intercept),4.676191958569462,0.06611946351178842,70.72338023032727,0,4.546600191409246,4.805783725729678,AFT3_proc_costs,3181,107.36046007574207,10636.046007574207,NA,NA
operational_specificity_raw_z,0.07497406968131003,0.015722929937366212,4.768454097294612,1.8564495978016734e-6,0.04415769327262565,0.10579044608999441,AFT3_proc_costs,3181,1.0778562013674597,7.785620136745974,NA,NA
fl_sentence_share_z,-0.016655157773887493,0.015181097743783376,-1.0970983821448446,0.272598387395869,-0.046409562597485174,0.013099247049710192,AFT3_proc_costs,3181,0.9834827725542639,-1.6517227445736138,NA,NA
risk_transparency_z,-0.030098505532443604,0.015017491881131589,-2.0042298521406385,0.04504544417755739,-0.05953224875758418,-6.647623073030295e-4,AFT3_proc_costs,3181,0.9703499440026453,-2.9650055997354707,NA,NA
tone_lm_z,-0.031191386408572316,0.015326796109642384,-2.035088493736092,0.04184196953903326,-0.061231354781859995,-0.0011514180352846376,AFT3_proc_costs,3181,0.9692900463821065,-3.0709953617893526,NA,NA
mda_fog_z,-0.02337572693616636,0.01492294465853517,-1.5664285749928466,0.11724831764658683,-0.05262416101017966,0.00587270713784694,AFT3_proc_costs,3181,0.9768953689062095,-2.310463109379046,NA,NA
mda_log_length_z,0.07115223664876907,0.016233616663939736,4.383018160507748,1.170463517870837e-5,0.03933493264861794,0.10296954064892021,AFT3_proc_costs,3181,1.0737446767176542,7.374467671765417,NA,NA
ln_deal_value,0.045099583538894594,0.0080468999455299,5.604591065401238,2.087472175637959e-8,0.02932794945845867,0.06087121761933052,AFT3_proc_costs,3181,1.046132032251628,4.61320322516281,NA,NA
tender,-0.8731882550776361,0.0373217086687484,-23.39625612609764,4.665569595741061e-121,-0.9463374599098793,-0.8000390502453929,AFT3_proc_costs,3181,0.41761795189739304,-58.2382048102607,NA,NA
percentage_of_cash,-8.494093962807542e-4,4.257294599891859e-4,-1.9951858541862013,0.04602261328521054,-0.0016838238050172444,-1.4994987544263974e-5,AFT3_proc_costs,3181,0.9991509512497612,-0.08490487502388344,NA,NA
Log(scale),-0.19260540961542594,0.012537275449612839,-15.362620881187846,2.91546092320632e-53,NA,NA,AFT3_proc_costs,3181,0.824807370993371,-17.519262900662902,NA,NA
(Intercept),5.1468478653874135,0.06356085886559618,80.97511514548252,0,5.0222708711844115,5.271424859590415,AFT4_weibull,3181,171.88881878411726,17088.881878411725,NA,NA
operational_specificity_raw_z,0.06312523077301149,0.015655558242736355,4.0321290237158705,5.527382527009167e-5,0.032440900459379064,0.09380956108664393,AFT4_weibull,3181,1.065160221717282,6.516022171728197,NA,NA
fl_sentence_share_z,-0.03760934993664983,0.014717089186645334,-2.555488348251468,0.01060389111930968,-0.06645431469973856,-0.008764385173561103,AFT4_weibull,3181,0.9630890982307072,-3.691090176929279,NA,NA
risk_transparency_z,-0.03544902674352679,0.014605112497574924,-2.42716560720863,0.01521730779825034,-0.06407452122892947,-0.006823532258124109,AFT4_weibull,3181,0.9651719309325079,-3.482806906749214,NA,NA
